account_id,total_amount_usd,avg_amount_usd,std_amount_usd,tx_count,tx_freq,tx_freq_std,asset_diversity,borrow_count,repay_count,first_seen,last_seen,behavior_consistency,borrow_repay_ratio,active_days,cluster,deposit_volume,risk_score,credit_score
0x9c57714a1ef0a67c7bfb04c6d981fe3b076b9bcb,142.26678379414415,71.13339189707207,93.52673974657428,2,55.0,0.0,2,0,2,2019-07-06 16:51:51,2019-07-06 16:52:46,110.0,0.0,1,0,142.26678379414415,0.0,2.9999999999999996
0xc6e8accdfb5a93e170fcd71e7b662201e536bc68,47.78211104943174,23.89105552471587,0.15407075449243646,2,55.0,0.0,2,0,2,2019-08-13 01:21:34,2019-08-13 01:22:29,110.0,0.0,1,0,47.78211104943174,0.0,2.9999999999999996
0x84630bcf6f830752144595d9f7cfedd88b495db9,6.088721538138533,3.0443607690692667,4.220823477554501,2,59.0,0.0,2,0,2,2019-08-06 13:09:46,2019-08-06 13:10:45,118.0,0.0,1,0,6.088721538138533,0.0,2.92
0x31793eb0b5a617808173b21afda37200d46a0d0f,15.83584543468035,7.917922717340175,2.619515654413109,2,63.0,0.0,2,0,2,2019-07-13 15:18:28,2019-07-13 15:19:31,126.0,0.0,1,0,15.83584543468035,0.0,2.84
0x2f02f9e063e65a10342e221160eb43d638ec383a,5046.481300203393,2523.2406501016967,3559.9130615685667,2,68.0,0.0,2,0,2,2019-06-12 23:01:34,2019-06-12 23:02:42,136.0,0.0,1,0,5046.481300203393,0.0,2.7399999999999993
0x1af7292d16c3f0e11633b11ed033fcddb0f83226,185.01524824406414,92.50762412203207,4.40871954790389,2,73.0,0.0,2,0,2,2019-07-25 02:17:11,2019-07-25 02:18:24,146.0,0.0,1,0,185.01524824406414,0.0,2.6399999999999997
0xae9083b40cb144e7f07de92b7255dfbe820326dc,23.009303844074758,11.504651922037379,3.722723345433331,2,76.0,0.0,2,0,2,2019-08-09 21:26:44,2019-08-09 21:28:00,152.0,0.0,1,0,23.009303844074758,0.0,2.5799999999999996
0x18a3e73a7970207cd7f7e9848091e419a060d1ac,1005.9372822816151,502.96864114080756,702.8818900947175,2,77.0,0.0,2,0,2,2019-08-07 21:14:47,2019-08-07 21:16:04,154.0,0.0,1,0,1005.9372822816151,0.0,2.5599999999999996
0xc249edf8f15aeb2ef16d094f37a97b3e8b454d03,1691.1655844768252,845.5827922384126,654.9809700566155,2,77.0,0.0,2,0,2,2019-08-09 21:31:31,2019-08-09 21:32:48,154.0,0.0,1,0,1691.1655844768252,0.0,2.5599999999999996
0xfa5d94a3baf66f0248b2b0d545964f71c6ea8844,451.0511006377119,225.52555031885595,36.098579447962955,2,77.0,0.0,2,0,2,2019-07-25 23:24:12,2019-07-25 23:25:29,154.0,0.0,1,0,451.0511006377119,0.0,2.5599999999999996
0x775a7d79a4ba8315b9c4d75acbd81c47c738555e,1458.5042434908923,729.2521217454462,237.84809799404655,2,79.0,0.0,2,0,2,2019-08-07 15:13:54,2019-08-07 15:15:13,158.0,0.0,1,0,1458.5042434908923,0.0,2.5199999999999996
0xb539f77571f3da762101d4dcf80565a61be2e434,1479.5921827441607,739.7960913720804,721.5372871573674,2,79.0,0.0,2,0,2,2019-06-09 23:46:27,2019-06-09 23:47:46,158.0,0.0,1,0,1479.5921827441607,0.0,2.5199999999999996
0x4195abec16f5339ee4b18278891288d2f85eda39,223.43528526591402,111.71764263295701,142.81471993976984,2,86.0,0.0,2,0,2,2019-08-02 19:19:40,2019-08-02 19:21:06,172.0,0.0,1,0,223.43528526591402,0.0,2.38
0x8059645ffea50c4f2c78a9c6351cd2d9d6d9b951,79.45908425125972,39.72954212562986,2.8464743708728677,2,88.0,0.0,2,0,2,2019-07-30 21:13:16,2019-07-30 21:14:44,176.0,0.0,1,0,79.45908425125972,0.0,2.34
0x9c8425e75bac5788693bfd1ac14afb2ebd756c15,34.404134352719716,17.202067176359858,4.843438982877084,2,88.0,0.0,2,0,2,2019-07-27 15:30:36,2019-07-27 15:32:04,176.0,0.0,1,0,34.404134352719716,0.0,2.34
0x7119463566ce19a8f7be2557b67ca1f42aa08f23,3.5059265330217855,1.7529632665108927,0.46644356033322826,2,89.0,0.0,2,0,2,2019-07-28 21:42:15,2019-07-28 21:43:44,178.0,0.0,1,0,3.5059265330217855,0.0,2.3199999999999994
0x6f21bfb01544afe0661280df5426dd4a8048c17e,345.81537012892977,86.45384253223244,105.48893519104044,4,145.0,51.09794516416487,4,0,4,2019-07-31 05:06:30,2019-07-31 05:13:45,580.0,0.0,1,0,345.81537012892977,0.0,2.3
0xcadf094b8c46d1daeb94060f30caca57f0bfcfd8,30.24747603037352,15.12373801518676,7.18657686113359,2,93.0,0.0,2,0,2,2019-08-05 04:57:20,2019-08-05 04:58:53,186.0,0.0,1,0,30.24747603037352,0.0,2.2399999999999993
0x7acdd81a9bc4a372897fc492e9bc719290b915da,193.48405235336827,96.74202617668413,36.977212408354724,2,95.0,0.0,2,0,2,2019-06-07 17:55:30,2019-06-07 17:57:05,190.0,0.0,1,0,193.48405235336827,0.0,2.1999999999999993
0xdee8d9a3fd4391aebac104b4187e1d4b12002089,3219.5686924615834,1609.7843462307917,2137.597663388874,2,96.0,0.0,2,0,2,2019-07-10 08:08:44,2019-07-10 08:10:20,192.0,0.0,1,0,3219.5686924615834,0.0,2.1799999999999997
0xe19c93c8b77ddf06c9dd8e77d867d19920336666,219.59664794155074,109.79832397077537,43.413286189798114,2,96.0,0.0,2,0,2,2019-08-05 05:32:34,2019-08-05 05:34:10,192.0,0.0,1,0,219.59664794155074,0.0,2.1799999999999997
0x8db5239484abbbb66ce48fbbd46c5139c1dc6df4,2122.9267625776274,1061.4633812888137,653.7741880164862,2,97.0,0.0,2,0,2,2019-08-06 00:18:44,2019-08-06 00:20:21,194.0,0.0,1,0,2122.9267625776274,0.0,2.1599999999999997
0x8fd506f331539fa5cf708d0162615c0e8b9d69c3,670.7333009334064,670.7333009334064,0.0,1,0.0,0.0,1,0,1,2019-08-02 19:33:24,2019-08-02 19:33:24,0.0,0.0,1,0,670.7333009334064,0.0,2.1
0x8facc575b610fd26067a193a81351d3ded0e7fa2,100.2465140160722,100.2465140160722,0.0,1,0.0,0.0,1,0,1,2019-06-28 23:16:15,2019-06-28 23:16:15,0.0,0.0,1,0,100.2465140160722,0.0,2.1
0xd2f96f8d1884cfd7f3e10611a86d9e932a235ed3,890.2436038838374,890.2436038838374,0.0,1,0.0,0.0,1,0,1,2019-07-14 04:47:38,2019-07-14 04:47:38,0.0,0.0,1,0,890.2436038838374,0.0,2.1
